Date,PAASI.PA,ETZ.PA,ESE.PA,AI.PA,TTE.PA,Total_Invested,Total_Value,Total_Return_Pct
2026-02-15,33.26,19.97,29.14,169.4,64.38,220.15,233.78,6.19
2026-03-02,33.91,20.21,29.27,176.4,70.29,220.15,246.69,12.06
2026-03-09,31.77,19.03,29.18,163.72,67.77,220.15,231.49,5.15
2026-03-16,32.81,19.25,29.36,170.9,72.5,670.15,693.4,3.47
2026-03-23,31.08,18.16,28.35,164.04,76.88,670.15,671.26,0.17
2026-03-30,31.21,18.68,28.11,173.54,79.97,670.15,685.79,2.33
2026-04-06,31.57,19.39,28.76,180.52,79.42,670.15,703.57,4.99
2026-04-13,33.21,19.84,29.29,187.54,79.8,670.15,721.77,7.7
2026-04-20,34.79,20.19,30.47,186.24,74.61,1120.15,1180.76,5.41
2026-04-27,35.94,19.99,30.83,189.26,77.33,1120.15,1193.81,6.58
2026-05-04,36.56,19.84,31.18,180.42,78.74,1120.15,1192.27,6.44
2026-05-11,38.62,19.97,31.73,174.44,76.69,1120.15,1202.61,7.36
